exon,sequence,paraphyletic_group,au_tested
E0072.fasta,Ateleopodiformes_Ateleopodidae_Ijimaia_dofleini_EPLATE_26_E03,Ateleopodiformes,no
E0072.fasta,Ateleopodiformes_Ateleopodidae_Ateleopus_japonicus_EPLATE_26_E02,Ateleopodiformes,no
E0072.fasta,Argentiniformes_Microstomatidae_Nansenia_antarctica_EPLATE_46_E04,Argentiniformes,no
E0072.fasta,Argentiniformes_Bathylagidae_Bathylagichthys_australis_EPLATE_46_H03,Argentiniformes,no
E0072.fasta,Argentiniformes_Bathylagidae_Bathylagichthys_longipinnis_EPLATE_46_G03,Argentiniformes,no
E0072.fasta,Argentiniformes_Bathylagidae_Melanolagus_bericoides_EPLATE_46_C04,Argentiniformes,no
E0072.fasta,Argentiniformes_Argentinidae_Argentina_sp_38,Argentiniformes,no
E0072.fasta,Argentiniformes_Argentinidae_Argentina_sp_37,Argentiniformes,no
E0072.fasta,Argentiniformes_Argentinidae_Argentina_australiae_EPLATE_46_F03,Argentiniformes,no
E0072.fasta,Argentiniformes_Argentinidae_Glossanodon_spW1_EPLATE_46_E03,Argentiniformes,no
E0072.fasta,Argentiniformes_Opisthoproctidae_Opisthoproctus_soleatus_32,Argentiniformes,no
E0072.fasta,Argentiniformes_Opisthoproctidae_Monacoa_sp1_EPLATE_46_G04,Argentiniformes,no
E0072.fasta,Stomiatiformes_Phosichthyidae_Phosichthys_argenteus_EPLATE_53_A11,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Borostomias_antarcticus_115,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Stomias_boa_EPLATE_24_B12,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Rhadinesthes_decimus_EPLATE_53_A12,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Neonesthes_microcephalus_EPLATE_53_B12,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Malacosteus_niger_EPLATE_18_A10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Stomiidae_Photostomias_tantillux_EPLATE_18_D09,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Phosichthyidae_Woodsia_meyerwaardeni_EPLATE_53_E11,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Phosichthyidae_Polymetme_corythaeola_EPLATE_53_G10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Phosichthyidae_Polymetme_illustris_EPLATE_53_H10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Phosichthyidae_Ichthyococcus_australis_EPLATE_53_E10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Gonostomatidae_Sigmops_bathyphilus_EPLATE_53_C10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Argyripnus_atlanticus_EPLATE_18_H06,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Argyropelecus_gigas_EPLATE_53_B08,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Argyropelecus_hemigymnus_EPLATE_53_D08,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Argyropelecus_aculeatus_EPLATE_33_F02,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Argyropelecus_olfersii_EPLATE_18_H09,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Maurolicus_japonicus_EPLATE_56_F05,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Maurolicus_mucronatus_86,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Gonostomatidae_Gonostoma_atlanticum_EPLATE_53_A10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Sternoptychidae_Polyipnus_ruggeri_EPLATE_53_B09,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Gonostomatidae_Margrethia_valentinae_EPLATE_53_D10,Stomiatiformes,yes
E0072.fasta,Stomiatiformes_Gonostomatidae_Diplophos_taenia_EPLATE_18_F09,Stomiatiformes,yes
